,Unnamed: 0,author_id,created_at,edit_history_tweet_ids,id_x,lang,public_metrics,text,username,imp_count,like_count,retweet_count,type,negative,neutral,positive
10,10,2516650610,2022-12-29 20:16:38+00:00,[1608557626190888962],1608557626190888962,es,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 3871}","Publicamos el #InformeSobreBancos de octubre de 2022.
Más información 🔽
https://t.co/znW5BH0MFF https://t.co/rHyCQ7XAq1",BancoCentral_AR,3871,5,4,central_bank,0.020334400236606598,0.8920720815658569,0.0875934436917305
11,11,2516650610,2022-12-29 19:36:54+00:00,[1608547628895145984],1608547628895145984,es,"{'retweet_count': 6, 'reply_count': 5, 'like_count': 13, 'quote_count': 2, 'bookmark_count': 2, 'impression_count': 8803}","Publicamos el Informe de Objetivos y Planes respecto del desarrollo de las políticas monetaria, financiera, crediticia y cambiaria para el año 2023.
Más información ▶️ https://t.co/Iwjh6aGAC5 https://t.co/4yZeyONrJC",BancoCentral_AR,8803,13,6,central_bank,0.016963139176368713,0.8440344929695129,0.13900236785411835
12,12,2516650610,2022-12-28 21:30:00+00:00,[1608213701990948867],1608213701990948867,es,"{'retweet_count': 4, 'reply_count': 4, 'like_count': 11, 'quote_count': 2, 'bookmark_count': 1, 'impression_count': 6035}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️  https://t.co/g9kLlo93Ed https://t.co/xPq1EVXqWu",BancoCentral_AR,6035,11,4,central_bank,0.0392320454120636,0.8258130550384521,0.13495492935180664
13,13,2516650610,2022-12-28 20:05:30+00:00,[1608192437565923328],1608192437565923328,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2881}","#SeminarioBCRA | Todos los meses invitamos a economistas del Banco Central o investigadores e investigadoras externas a presentar sus trabajos en nuestros Seminarios.
Encontrá el listado con los seminarios en ▶️ https://t.co/1k7pGXktaW",BancoCentral_AR,2881,1,0,central_bank,0.018414894118905067,0.7080976366996765,0.27348753809928894
14,14,2516650610,2022-12-28 20:05:29+00:00,[1608192435016069120],1608192435016069120,es,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3883}","Está disponible el #SeminarioBCRA 'Evidencia empírica del principio de compensación en la economía brasileña: 2004 a 2011', a cargo de @LilianRolim4
(Universidad de Campinas, Brasil)▶️ https://t.co/LN3RMa1Xpw",BancoCentral_AR,3883,5,2,central_bank,0.033604945987463,0.9098545908927917,0.05654054507613182
15,15,2516650610,2022-12-28 19:07:25+00:00,[1608177822241013761],1608177822241013761,es,"{'retweet_count': 5, 'reply_count': 6, 'like_count': 14, 'quote_count': 5, 'bookmark_count': 1, 'impression_count': 21797}","El titular del BCRA, Miguel Pesce, y la presidenta de @DiputadosAR, @ceciliamoreauok, firmaron un convenio de cooperación para coordinar y profundizar esfuerzos y acciones orientadas al fortalecimiento y difusión de #EducaciónFinanciera en todo el país ▶️
https://t.co/3x9M29fX88",BancoCentral_AR,21797,14,5,central_bank,0.037779051810503006,0.5333187580108643,0.42890217900276184
16,16,2516650610,2022-12-28 13:59:32+00:00,[1608100336925036544],1608100336925036544,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2497}","Los #DocumentosdeTrabajo son pre publicaciones de artículos académicos.
Podés encontrarlos en este enlace ▶️https://t.co/sguqUgCTUf",BancoCentral_AR,2497,3,0,central_bank,0.019274955615401268,0.8649808764457703,0.11574418842792511
17,17,2516650610,2022-12-28 13:59:31+00:00,[1608100334261473280],1608100334261473280,es,"{'retweet_count': 2, 'reply_count': 3, 'like_count': 5, 'quote_count': 2, 'bookmark_count': 0, 'impression_count': 5383}","Publicamos el #DocumentodeTrabajo 105: 'A Diffusion Index Analysis of the Argentinean Business Economic Cycle During the COVID-19 Pandemic', de Cecilia Pérez, Máximo Sangiácomo, Mirta González, Pedro Elosegui, integrantes del staff del BCRA ▶️https://t.co/VFJmvmcQqb https://t.co/Q1OweuLHrk",BancoCentral_AR,5383,5,2,central_bank,0.06184624135494232,0.8641185760498047,0.07403520494699478
18,18,2516650610,2022-12-27 21:35:00+00:00,[1607852572680880128],1607852572680880128,es,"{'retweet_count': 7, 'reply_count': 1, 'like_count': 14, 'quote_count': 1, 'bookmark_count': 1, 'impression_count': 6642}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️  https://t.co/g9kLlo93Ed https://t.co/lUdosn2Kfw",BancoCentral_AR,6642,14,7,central_bank,0.03463337570428848,0.8261250853538513,0.13924147188663483
19,19,2516650610,2022-12-27 20:28:17+00:00,[1607835781045026816],1607835781045026816,es,"{'retweet_count': 6, 'reply_count': 4, 'like_count': 9, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5035}","Publicamos el Informe de Estabilidad Financiera de diciembre de 2022.
#IEFBCRA
Más información ▶️https://t.co/SFf6DNWuNj https://t.co/Sz0Xku6Qpm",BancoCentral_AR,5035,9,6,central_bank,0.019312633201479912,0.911188006401062,0.06949934363365173
20,20,2516650610,2022-12-26 21:30:00+00:00,[1607488928008863751],1607488928008863751,es,"{'retweet_count': 7, 'reply_count': 3, 'like_count': 25, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 8541}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLlo93Ed https://t.co/HPSasuuXW9",BancoCentral_AR,8541,25,7,central_bank,0.03141147643327713,0.8411238193511963,0.1274646818637848
21,21,2516650610,2022-12-26 19:54:15+00:00,[1607464830281347072],1607464830281347072,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 3381}","#IPOM | Cabe destacar la creación del 'Programa de Incremento Exportador', que permitió al complejo sojero liquidar divisas a un tipo de cambio diferencial excepcional y transitorio y que tuvo un impacto positivo sobre las Reservas Internacionales.",BancoCentral_AR,3381,3,0,central_bank,0.02129162661731243,0.13288025557994843,0.845828115940094
22,22,2516650610,2022-12-26 19:54:14+00:00,[1607464825407549442],1607464825407549442,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3860}","#IPOM | Seguimos calibrando la tasa de variación del tipo de cambio nominal ubicándola en un nivel acorde con la tasa de inflación, a los efectos de preservar la competitividad externa y potenciar la acumulación de reservas
👇 https://t.co/Ceq102asaT",BancoCentral_AR,3860,3,0,central_bank,0.0402204692363739,0.616422176361084,0.3433573246002197
23,23,2516650610,2022-12-26 19:54:13+00:00,[1607464820961431552],1607464820961431552,es,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 7, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 2386}","#IPOM | Utilizamos capacidad de intervención a través de operaciones de mercado abierto. Así, garantizamos que los retornos en el mercado secundario se mantengan en una relación razonable con los que se determinan en el marco de las licitaciones primarias del Tesoro.
👇 https://t.co/8cewYHN0cQ",BancoCentral_AR,2386,7,2,central_bank,0.034109752625226974,0.4486099183559418,0.5172803401947021
24,24,2516650610,2022-12-26 19:54:12+00:00,[1607464816402370560],1607464816402370560,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2105}","#IPOM | En una economía con crédito relativamente pequeño como la argentina, tasas de interés reales positivas actúan principalmente incentivando el ahorro en pesos. Su acción antiinflacionaria pasa en gran medida por contribuir a la estabilidad cambiaria y financiera.
👇 https://t.co/Kdd7Zoji9G",BancoCentral_AR,2105,7,0,central_bank,0.04283252730965614,0.23425334692001343,0.7229140996932983
25,25,2516650610,2022-12-26 19:54:11+00:00,[1607464811851567104],1607464811851567104,es,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 4, 'quote_count': 1, 'bookmark_count': 0, 'impression_count': 1932}","#IPOM | Mantuvimos la tasa de #políticamonetaria sin cambios, tendiendo a consolidar un entorno de tasas de interés reales positivas que favorezca la estabilidad financiera y cambiaria, y a reforzar la tendencia de gradual desaceleración de la inflación en el mediano plazo.
👇 https://t.co/PZJpYJzH5q",BancoCentral_AR,1932,4,1,central_bank,0.05480797216296196,0.40628254413604736,0.5389094948768616
26,26,2516650610,2022-12-26 19:54:10+00:00,[1607464808684584960],1607464808684584960,es,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1945}","#IPOM | La tasa de inflación mensual bajó gradualmente desde septiembre y se ubicó en noviembre en 4,9%, nivel más bajo desde febrero 2022. Esto fue resultado de medidas tomadas junto con el Gobierno Nacional para contener la aceleración de precios de la 1ra parte del 3er trim.👇",BancoCentral_AR,1945,2,0,central_bank,0.0680532306432724,0.4842665195465088,0.44768020510673523
27,27,2516650610,2022-12-26 19:54:09+00:00,[1607464804439973888],1607464804439973888,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1897}","#IPOM | La actividad económica siguió expandiéndose en el 3er trim. Desde la demanda hubo gran dinamismo del consumo privado, y la inversión permaneció en los niveles máximos de 2017. El PIB crecerá en 2022 por encima del 5% anual, superando previsiones de comienzos del año.
👇 https://t.co/3erCLtjINZ",BancoCentral_AR,1897,4,0,central_bank,0.02431448921561241,0.1975833922624588,0.7781020998954773
28,28,2516650610,2022-12-26 19:54:08+00:00,[1607464800539512832],1607464800539512832,es,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 15, 'quote_count': 1, 'bookmark_count': 2, 'impression_count': 9424}","Publicamos el Informe de Política Monetaria #IPOM de diciembre de 2022. Encontrá el documento en https://t.co/Tyu8YLfsTi

Más información en este hilo 👇 https://t.co/lJ1INe2Xaa",BancoCentral_AR,9424,15,4,central_bank,0.01900898478925228,0.8778069615364075,0.10318397730588913
29,29,2516650610,2022-12-23 21:30:00+00:00,[1606401762369212416],1606401762369212416,es,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 16, 'quote_count': 1, 'bookmark_count': 3, 'impression_count': 8508}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLloqEvL https://t.co/RSnQmgh42a",BancoCentral_AR,8508,16,3,central_bank,0.04385995864868164,0.8301112651824951,0.1260288655757904
30,30,2516650610,2022-12-23 17:29:58+00:00,[1606341355315384321],1606341355315384321,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2938}",#PremioPrebischBCRA | Encontrá el listado con todos los trabajos premiados 👉 https://t.co/zudVQzQTZ5,BancoCentral_AR,2938,2,0,central_bank,0.018035177141427994,0.8631744980812073,0.11879028379917145
31,31,2516650610,2022-12-23 17:29:57+00:00,[1606341352312246274],1606341352312246274,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3023}","#PremioPrebischBCRA | Por 'Estudiantes Universitarios' ganó el trabajo 'América Latina en el Ciclo Financiero Global: ¿Vulnerabilidad o Resiliencia? Un análisis del caso argentino', de Agustín Cucchiaro ▶️ https://t.co/IY3XZiQb1f",BancoCentral_AR,3023,1,0,central_bank,0.0583580806851387,0.7887725830078125,0.15286940336227417
32,32,2516650610,2022-12-23 17:29:56+00:00,[1606341349359456268],1606341349359456268,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1526}",#PremioPrebischBCRA | Y 'Forecasting Inflation in Argentina. A Probabilistic Approach' de Tomás Marinozzi ▶️ https://t.co/zmzVzwYiym,BancoCentral_AR,1526,3,0,central_bank,0.43403056263923645,0.5429632067680359,0.023006169125437737
33,33,2516650610,2022-12-23 17:29:55+00:00,[1606341345810870272],1606341345810870272,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1551}","#PremioPrebischBCRA | 'Del Stop &amp; Go al Stop &amp; Crush: Un análisis de la restricción externa argentina en el periodo 2011-1019', por Jordán Daniel Ricchione ▶️ https://t.co/oQGrDCGZcZ
👇",BancoCentral_AR,1551,1,0,central_bank,0.06945697963237762,0.8808804750442505,0.04966249689459801
34,34,2516650610,2022-12-23 17:29:55+00:00,[1606341342837313537],1606341342837313537,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1520}","#PremioPrebischBCRA | En la categoría 'Jóvenes Profesionales', dos trabajos comparten el primer premio 👇",BancoCentral_AR,1520,1,0,central_bank,0.02148413471877575,0.5347920656204224,0.4437238872051239
35,35,2516650610,2022-12-23 17:29:54+00:00,[1606341339716751363],1606341339716751363,es,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 5, 'quote_count': 1, 'bookmark_count': 1, 'impression_count': 2038}","#PremioPrebischBCRA | En la categoría Tesis de Doctorado, el jurado otorgó una Mención Honorífica al trabajo 'Consumo y fluctuaciones: ¿Qué Rol para la Economía de la conducta?' de @Iron_Hic_Man ▶️https://t.co/rufmt6nqlP",BancoCentral_AR,2038,5,2,central_bank,0.036931611597537994,0.8490678071975708,0.11400063335895538
36,36,2516650610,2022-12-23 17:29:53+00:00,[1606341336688369664],1606341336688369664,es,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1252}","#PremioPrebischBCRA | El primer puesto en 'Tesis de doctorado' lo obtuvo el trabajo 'Desindustrialización y exportaciones de servicios como motor autónomo del crecimiento en el siglo XXI', de 
@lcassini ▶️https://t.co/MMgi8IUBSl",BancoCentral_AR,1252,3,0,central_bank,0.034878987818956375,0.5078721642494202,0.45724886655807495
37,37,2516650610,2022-12-23 17:29:52+00:00,[1606341333630816256],1606341333630816256,es,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1663}","El titular del BCRA, Miguel Pesce, presidió la ceremonia junto al jurado, compuesto por 
@S_Woyecheszen, @jorgecarreraok, @arnaldobocco, Florencia Sember y Soledad Villafañe, quienes seleccionaron los trabajos de estudiantes, jóvenes profesionales y doctorandos de todo el país.",BancoCentral_AR,1663,1,0,central_bank,0.0616576261818409,0.7699748277664185,0.16836759448051453
38,38,2516650610,2022-12-23 17:29:52+00:00,[1606341330010968064],1606341330010968064,es,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 7, 'quote_count': 2, 'bookmark_count': 0, 'impression_count': 6187}","Realizamos la entrega de premios a los ganadores y las ganadoras de cada categoría del 14° Premio Anual de Investigación Económica Dr. Raúl Prebisch. 
Conocé más: https://t.co/WIS6hS8cOu

Para ver la ceremonia completa: https://t.co/DS0CHdZRyD

#PremioPrebischBCRA",BancoCentral_AR,6187,7,3,central_bank,0.017752639949321747,0.8729735612869263,0.10927386581897736
39,39,2516650610,2022-12-22 21:34:13+00:00,[1606040435951947776],1606040435951947776,es,"{'retweet_count': 5, 'reply_count': 3, 'like_count': 18, 'quote_count': 4, 'bookmark_count': 2, 'impression_count': 9139}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLloqEvL https://t.co/a0GsjAJyMF",BancoCentral_AR,9139,18,5,central_bank,0.0414753258228302,0.8383586406707764,0.12016603350639343
40,40,2516650610,2022-12-22 18:51:49+00:00,[1605999565974278144],1605999565974278144,es,"{'retweet_count': 7, 'reply_count': 3, 'like_count': 10, 'quote_count': 0, 'bookmark_count': 3, 'impression_count': 6839}",Actualización del tope de la cobertura del Sistema de Seguro de Garantía de los Depósitos: https://t.co/KTq6fSKSFA,BancoCentral_AR,6839,10,7,central_bank,0.022541485726833344,0.8939851522445679,0.08347339183092117
41,41,2516650610,2022-12-21 21:30:00+00:00,[1605676986889822230],1605676986889822230,es,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 10, 'quote_count': 3, 'bookmark_count': 1, 'impression_count': 6871}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLlo93Ed https://t.co/e3wAhdSpmQ",BancoCentral_AR,6871,10,4,central_bank,0.03665618598461151,0.8218669891357422,0.1414768248796463
42,42,2516650610,2022-12-19 23:52:36+00:00,[1604988096516427778],1604988096516427778,es,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 12, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 10878}","Los canales electrónicos como #HomeBanking, #BancaMovil o #CajeroAutomático funcionarán como lo hacen los días feriados. https://t.co/PzSDi7qWyb",BancoCentral_AR,10878,12,6,central_bank,0.018449872732162476,0.7918119430541992,0.18973815441131592
43,43,2516650610,2022-12-19 23:52:34+00:00,[1604988090447106048],1604988090447106048,es,"{'retweet_count': 72, 'reply_count': 31, 'like_count': 198, 'quote_count': 13, 'bookmark_count': 0, 'impression_count': 60815}",Recordamos que el martes 20 de diciembre las sucursales bancarias de todo el país permanecerán abiertas al público hasta las 12 por el #FeriadoNacional.,BancoCentral_AR,60815,198,72,central_bank,0.03277161717414856,0.7941232919692993,0.17310507595539093
44,44,2516650610,2022-12-19 21:30:00+00:00,[1604952211381014529],1604952211381014529,es,"{'retweet_count': 4, 'reply_count': 4, 'like_count': 12, 'quote_count': 1, 'bookmark_count': 1, 'impression_count': 8757}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLlo93Ed https://t.co/U7H1mJQWJV",BancoCentral_AR,8757,12,4,central_bank,0.041160013526678085,0.8201891779899597,0.13865086436271667
45,45,2516650610,2022-12-16 21:29:57+00:00,[1603865034051969029],1603865034051969029,es,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 15, 'quote_count': 1, 'bookmark_count': 1, 'impression_count': 7027}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLlo93Ed https://t.co/RVFGNSZ7ci",BancoCentral_AR,7027,15,5,central_bank,0.03526051342487335,0.8299514651298523,0.13478806614875793
46,46,2516650610,2022-12-15 21:00:50+00:00,[1603495319400239104],1603495319400239104,es,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 14, 'quote_count': 1, 'bookmark_count': 2, 'impression_count': 7237}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLlo9BtL https://t.co/zSaOeFmouS",BancoCentral_AR,7237,14,4,central_bank,0.036189090460538864,0.8140497803688049,0.1497611254453659
47,47,2516650610,2022-12-15 20:35:37+00:00,[1603488973027950594],1603488973027950594,es,"{'retweet_count': 8, 'reply_count': 1, 'like_count': 18, 'quote_count': 4, 'bookmark_count': 0, 'impression_count': 8461}","El BCRA mantuvo sin cambios la tasa de #PolíticaMonetaria y seguirá observando la evolución de la tasa de inflación, que marcó una desaceleración en noviembre, tanto en el nivel general, 4,9%, como en la inflación núcleo, 4,8%.
▶️ https://t.co/4OBHSaGgPL",BancoCentral_AR,8461,18,8,central_bank,0.1275791972875595,0.7645274996757507,0.10789334028959274
48,48,2516650610,2022-12-14 21:30:00+00:00,[1603140271109074945],1603140271109074945,es,"{'retweet_count': 3, 'reply_count': 2, 'like_count': 11, 'quote_count': 1, 'bookmark_count': 1, 'impression_count': 0}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLloqEvL https://t.co/abXikGFL15",BancoCentral_AR,0,11,3,central_bank,0.04013354331254959,0.8333746790885925,0.12649181485176086
49,49,2516650610,2022-12-14 19:46:10+00:00,[1603114141664694272],1603114141664694272,es,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","#VosSosLaClave | ¿Cómo prevenir estafas a través de WhatsApp?
- Activá la autenticación de doble factor
- Usá foto de perfil público para tus contactos
- Nunca compartas códigos de seguridad ni información personal o claves

 #SeguridadBancaria",BancoCentral_AR,0,4,4,central_bank,0.09877961874008179,0.8226764798164368,0.07854390889406204
50,50,2516650610,2022-12-14 19:46:09+00:00,[1603114139391594497],1603114139391594497,es,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","#VosSosLaClave | Si recibís un mensaje de WhatsApp u otro tipo de mensajería simulando ser una persona conocida que solicita dinero, puede ser una estafa. Verificá con esa persona para constatar si es quien te está escribiendo. 
Conocé más: https://t.co/JUrZWG0oH9",BancoCentral_AR,0,2,4,central_bank,0.6068797707557678,0.3710488975048065,0.022071383893489838
51,51,2516650610,2022-12-14 19:46:09+00:00,[1603114136854056964],1603114136854056964,es,"{'retweet_count': 12, 'reply_count': 4, 'like_count': 14, 'quote_count': 3, 'bookmark_count': 0, 'impression_count': 0}","🚨Desde el BCRA no te contactaremos por correo electrónico, mensajes directos ni por teléfono para solicitarte datos bancarios o personales. 
❗️No solicitamos claves, contraseñas ni datos personales para ayudarte.
#VosSosLaClave
#SeguridadBancaria https://t.co/UcKoqD2Kgi",BancoCentral_AR,0,14,12,central_bank,0.09557382762432098,0.854433000087738,0.04999314621090889
52,52,2516650610,2022-12-13 21:30:18+00:00,[1602777959638728710],1602777959638728710,es,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 10, 'quote_count': 1, 'bookmark_count': 1, 'impression_count': 0}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLlo93Ed https://t.co/ONsMAmxLaU",BancoCentral_AR,0,10,7,central_bank,0.03367670997977257,0.8153966069221497,0.15092667937278748
53,53,2516650610,2022-12-12 21:33:40+00:00,[1602416418724712466],1602416418724712466,es,"{'retweet_count': 3, 'reply_count': 4, 'like_count': 13, 'quote_count': 1, 'bookmark_count': 2, 'impression_count': 0}","#DataBCRA
Encontrá la lista de #PrincipalesVariables ▶️ https://t.co/g9kLlo93Ed https://t.co/mKLHUJzVn1",BancoCentral_AR,0,13,3,central_bank,0.041618842631578445,0.8213528990745544,0.13702821731567383
54,54,2516650610,2022-12-12 21:29:19+00:00,[1602415322841157646],1602415322841157646,es,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 7, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",#EducaciónFinanciera | El acuerdo busca promover una mayor #InclusiónFinanciera de los sectores más vulnerables y profundizar el alcance de los programas de capacitación.,BancoCentral_AR,0,7,1,central_bank,0.0355038046836853,0.46104228496551514,0.5034539699554443
